 ========================================================
       E/V           P              n           eps      
    (MeV/fm3)     (MeV/fm3)      (#/fm3)    (erg/cm^3/s) 
 ========================================================
   0.91965E+02   0.11471E+01   0.96922E-01   0.00000E+00
   0.92157E+02   0.11532E+01   0.97122E-01   0.00000E+00
   0.92349E+02   0.11593E+01   0.97322E-01   0.00000E+00
   0.92541E+02   0.11654E+01   0.97522E-01   0.00000E+00
   0.92734E+02   0.11716E+01   0.97722E-01   0.00000E+00
   0.92926E+02   0.11777E+01   0.97922E-01   0.00000E+00
   0.93118E+02   0.11839E+01   0.98122E-01   0.00000E+00
   0.93310E+02   0.11901E+01   0.98322E-01   0.00000E+00
   0.93503E+02   0.11963E+01   0.98522E-01   0.00000E+00
   0.93695E+02   0.12025E+01   0.98722E-01   0.00000E+00
   0.93887E+02   0.12088E+01   0.98922E-01   0.00000E+00
   0.94079E+02   0.12151E+01   0.99122E-01   0.00000E+00
   0.94272E+02   0.12214E+01   0.99322E-01   0.00000E+00
   0.94464E+02   0.12277E+01   0.99522E-01   0.00000E+00
   0.94656E+02   0.12340E+01   0.99722E-01   0.00000E+00
   0.94848E+02   0.12404E+01   0.99922E-01   0.00000E+00
   0.95041E+02   0.12468E+01   0.10012E+00   0.00000E+00
   0.95233E+02   0.12532E+01   0.10032E+00   0.00000E+00
   0.95426E+02   0.12596E+01   0.10052E+00   0.00000E+00
   0.95618E+02   0.12661E+01   0.10072E+00   0.00000E+00
   0.95810E+02   0.12725E+01   0.10092E+00   0.00000E+00
   0.96003E+02   0.12790E+01   0.10112E+00   0.00000E+00
   0.96195E+02   0.12855E+01   0.10132E+00   0.00000E+00
   0.96388E+02   0.12921E+01   0.10152E+00   0.00000E+00
   0.96580E+02   0.12986E+01   0.10172E+00   0.00000E+00
   0.96772E+02   0.13052E+01   0.10192E+00   0.00000E+00
   0.96965E+02   0.13118E+01   0.10212E+00   0.00000E+00
   0.97157E+02   0.13184E+01   0.10232E+00   0.00000E+00
   0.97350E+02   0.13250E+01   0.10252E+00   0.00000E+00
   0.97542E+02   0.13317E+01   0.10272E+00   0.00000E+00
   0.97735E+02   0.13384E+01   0.10292E+00   0.00000E+00
   0.97927E+02   0.13450E+01   0.10312E+00   0.00000E+00
   0.98120E+02   0.13518E+01   0.10332E+00   0.00000E+00
   0.98312E+02   0.13585E+01   0.10352E+00   0.00000E+00
   0.98505E+02   0.13653E+01   0.10372E+00   0.00000E+00
   0.98698E+02   0.13720E+01   0.10392E+00   0.00000E+00
   0.98890E+02   0.13788E+01   0.10412E+00   0.00000E+00
   0.99083E+02   0.13857E+01   0.10432E+00   0.00000E+00
   0.99275E+02   0.13925E+01   0.10452E+00   0.00000E+00
   0.99468E+02   0.13993E+01   0.10472E+00   0.00000E+00
   0.99661E+02   0.14062E+01   0.10492E+00   0.00000E+00
   0.99853E+02   0.14131E+01   0.10512E+00   0.00000E+00
   0.10005E+03   0.14200E+01   0.10532E+00   0.00000E+00
   0.10024E+03   0.14270E+01   0.10552E+00   0.00000E+00
   0.10043E+03   0.14339E+01   0.10572E+00   0.00000E+00
   0.10062E+03   0.14409E+01   0.10592E+00   0.00000E+00
   0.10082E+03   0.14479E+01   0.10612E+00   0.00000E+00
   0.10101E+03   0.14549E+01   0.10632E+00   0.00000E+00
   0.10120E+03   0.14619E+01   0.10652E+00   0.00000E+00
   0.10140E+03   0.14689E+01   0.10672E+00   0.00000E+00
   0.10159E+03   0.14760E+01   0.10692E+00   0.00000E+00
   0.10178E+03   0.14831E+01   0.10712E+00   0.00000E+00
   0.10197E+03   0.14902E+01   0.10732E+00   0.00000E+00
   0.10217E+03   0.14973E+01   0.10752E+00   0.00000E+00
   0.10236E+03   0.15045E+01   0.10772E+00   0.00000E+00
   0.10255E+03   0.15116E+01   0.10792E+00   0.00000E+00
   0.10274E+03   0.15188E+01   0.10812E+00   0.00000E+00
   0.10294E+03   0.15260E+01   0.10832E+00   0.00000E+00
   0.10313E+03   0.15332E+01   0.10852E+00   0.00000E+00
   0.10332E+03   0.15405E+01   0.10872E+00   0.00000E+00
   0.10352E+03   0.15477E+01   0.10892E+00   0.00000E+00
   0.10371E+03   0.15550E+01   0.10912E+00   0.00000E+00
